Rope_ID,Timestamp,Source,Event,Details
67,17:44:08,Tactile,COMPRESSIBILITY SPIKE,ADC: 87849.90
67,17:44:08,Tactile,COMPRESSIBILITY SPIKE,ADC: 89227.60
67,17:44:09,Tactile,COMPRESSIBILITY SPIKE,ADC: 92924.00
67,17:44:09,Tactile,COMPRESSIBILITY SPIKE,ADC: 160778.50
67,17:44:10,CAMERA,VISUAL_ALERT,Bad Label
67,17:44:10,Tactile,COMPRESSIBILITY SPIKE,ADC: 186398.30
67,17:44:10,Tactile,COMPRESSIBILITY SPIKE,ADC: 209868.80
67,17:44:11,Tactile,COMPRESSIBILITY SPIKE,ADC: 213452.50
67,17:44:11,CAMERA,VISUAL_ALERT,Bad Label
67,17:44:11,Tactile,COMPRESSIBILITY SPIKE,ADC: 189319.60
67,17:44:12,Tactile,COMPRESSIBILITY SPIKE,ADC: 195052.60
67,17:44:22,Tactile,COMPRESSIBILITY SPIKE,ADC: 82906.00
67,17:44:22,Tactile,COMPRESSIBILITY SPIKE,ADC: 85560.40
67,17:44:22,Tactile,COMPRESSIBILITY SPIKE,ADC: 95488.90
67,17:44:23,Tactile,COMPRESSIBILITY SPIKE,ADC: 106606.20
67,17:44:23,Tactile,COMPRESSIBILITY SPIKE,ADC: 98250.60
67,17:44:24,Tactile,COMPRESSIBILITY SPIKE,ADC: 102939.70
67,17:44:25,Tactile,COMPRESSIBILITY SPIKE,ADC: 96807.20
67,17:44:25,Tactile,COMPRESSIBILITY SPIKE,ADC: 91353.30
67,17:44:26,Tactile,COMPRESSIBILITY SPIKE,ADC: 89089.80
67,17:44:31,CAMERA,VISUAL_ALERT,Bad Label
67,17:44:41,Tactile,COMPRESSIBILITY SPIKE,ADC: 100936.10
67,17:44:41,Tactile,COMPRESSIBILITY SPIKE,ADC: 97023.00
67,17:44:42,Tactile,COMPRESSIBILITY SPIKE,ADC: 105852.90
67,17:44:42,Tactile,COMPRESSIBILITY SPIKE,ADC: 111977.90
67,17:44:43,Tactile,COMPRESSIBILITY SPIKE,ADC: 116313.70
67,17:44:43,Tactile,COMPRESSIBILITY SPIKE,ADC: 117043.20
67,17:44:44,Tactile,COMPRESSIBILITY SPIKE,ADC: 118852.10
67,17:44:45,Tactile,COMPRESSIBILITY SPIKE,ADC: 107283.80
67,17:44:45,Tactile,COMPRESSIBILITY SPIKE,ADC: 111622.60
67,17:44:47,CAMERA,VISUAL_ALERT,Bad Label
67,17:44:51,Tactile,COMPRESSIBILITY SPIKE,ADC: 95590.20
67,17:44:51,Tactile,COMPRESSIBILITY SPIKE,ADC: 88009.00
67,17:44:52,Tactile,COMPRESSIBILITY SPIKE,ADC: 83996.50
67,17:44:52,Tactile,COMPRESSIBILITY SPIKE,ADC: 81449.10
67,17:44:53,Tactile,COMPRESSIBILITY SPIKE,ADC: 74690.50
67,17:44:54,Tactile,COMPRESSIBILITY SPIKE,ADC: 76057.40
67,17:44:54,Tactile,COMPRESSIBILITY SPIKE,ADC: 81140.00
67,17:44:55,Tactile,COMPRESSIBILITY SPIKE,ADC: 94231.60
67,17:44:55,Tactile,COMPRESSIBILITY SPIKE,ADC: 89927.50
67,17:45:08,Tactile,COMPRESSIBILITY SPIKE,ADC: 98920.00
67,17:45:08,Tactile,COMPRESSIBILITY SPIKE,ADC: 98488.10
67,17:45:08,Tactile,COMPRESSIBILITY SPIKE,ADC: 86694.10
67,17:45:09,Tactile,COMPRESSIBILITY SPIKE,ADC: 83968.50
67,17:45:10,Tactile,COMPRESSIBILITY SPIKE,ADC: 83924.30
67,17:45:10,Tactile,COMPRESSIBILITY SPIKE,ADC: 81141.20
67,17:45:11,Tactile,COMPRESSIBILITY SPIKE,ADC: 91069.70
67,17:45:11,Tactile,COMPRESSIBILITY SPIKE,ADC: 82892.10
67,17:45:12,Tactile,COMPRESSIBILITY SPIKE,ADC: 82658.40
67,17:45:18,CAMERA,VISUAL_ALERT,Bad Label
67,17:45:19,CAMERA,VISUAL_ALERT,Bad Label
67,17:45:27,Tactile,COMPRESSIBILITY SPIKE,ADC: 73677.20
67,17:45:27,Tactile,COMPRESSIBILITY SPIKE,ADC: 73119.20
67,17:45:28,Tactile,COMPRESSIBILITY SPIKE,ADC: 73422.60
67,17:45:29,Tactile,COMPRESSIBILITY SPIKE,ADC: 72426.60
67,17:45:29,Tactile,COMPRESSIBILITY SPIKE,ADC: 72124.50
67,17:45:30,Tactile,COMPRESSIBILITY SPIKE,ADC: 72689.20
67,17:45:30,Tactile,COMPRESSIBILITY SPIKE,ADC: 70577.50
67,17:45:31,Tactile,COMPRESSIBILITY SPIKE,ADC: 70715.10
67,17:45:31,Tactile,COMPRESSIBILITY SPIKE,ADC: 72740.00
67,17:46:37,Tactile,COMPRESSIBILITY SPIKE,ADC: 81905.80
67,17:46:37,Tactile,COMPRESSIBILITY SPIKE,ADC: 85366.80
67,17:46:38,Tactile,COMPRESSIBILITY SPIKE,ADC: 83381.40
67,17:46:39,Tactile,COMPRESSIBILITY SPIKE,ADC: 82131.60
67,17:46:39,Tactile,COMPRESSIBILITY SPIKE,ADC: 81535.60
67,17:46:40,Tactile,COMPRESSIBILITY SPIKE,ADC: 82020.10
67,17:46:40,Tactile,COMPRESSIBILITY SPIKE,ADC: 83482.30
67,17:46:41,Tactile,COMPRESSIBILITY SPIKE,ADC: 83801.00
67,17:46:41,Tactile,COMPRESSIBILITY SPIKE,ADC: 86095.70
67,17:46:57,CAMERA,VISUAL_ALERT,Bad Label
67,17:47:29,Tactile,COMPRESSIBILITY SPIKE,ADC: 72862.80
67,17:47:29,Tactile,COMPRESSIBILITY SPIKE,ADC: 73269.60
67,17:47:30,Tactile,COMPRESSIBILITY SPIKE,ADC: 72692.20
67,17:47:30,Tactile,COMPRESSIBILITY SPIKE,ADC: 73178.40
67,17:47:31,Tactile,COMPRESSIBILITY SPIKE,ADC: 77348.80
67,17:47:31,Tactile,COMPRESSIBILITY SPIKE,ADC: 74181.00
67,17:47:32,Tactile,COMPRESSIBILITY SPIKE,ADC: 70833.70
67,17:47:33,Tactile,COMPRESSIBILITY SPIKE,ADC: 70632.40
67,17:47:33,Tactile,COMPRESSIBILITY SPIKE,ADC: 72904.40
67,17:48:05,CAMERA,VISUAL_ALERT,Bad Label
67,17:48:15,CAMERA,VISUAL_ALERT,Bad Label
67,17:48:32,Tactile,COMPRESSIBILITY SPIKE,ADC: 76356.00
67,17:48:32,Tactile,COMPRESSIBILITY SPIKE,ADC: 73910.20
67,17:48:33,Tactile,COMPRESSIBILITY SPIKE,ADC: 73569.80
67,17:48:34,Tactile,COMPRESSIBILITY SPIKE,ADC: 74151.80
67,17:48:34,Tactile,COMPRESSIBILITY SPIKE,ADC: 77179.30
67,17:48:35,Tactile,COMPRESSIBILITY SPIKE,ADC: 78746.90
67,17:48:35,Tactile,COMPRESSIBILITY SPIKE,ADC: 78763.20
67,17:48:36,Tactile,COMPRESSIBILITY SPIKE,ADC: 79436.00
67,17:48:36,Tactile,COMPRESSIBILITY SPIKE,ADC: 77674.20
67,17:48:37,CAMERA,VISUAL_ALERT,Bad Label
67,17:48:47,Tactile,COMPRESSIBILITY SPIKE,ADC: 86500.10
67,17:48:47,Tactile,COMPRESSIBILITY SPIKE,ADC: 88320.00
67,17:48:47,Tactile,COMPRESSIBILITY SPIKE,ADC: 88962.00
67,17:48:48,Tactile,COMPRESSIBILITY SPIKE,ADC: 81294.90
67,17:48:48,Tactile,COMPRESSIBILITY SPIKE,ADC: 84000.40
67,17:48:49,Tactile,COMPRESSIBILITY SPIKE,ADC: 97743.90
67,17:48:50,Tactile,COMPRESSIBILITY SPIKE,ADC: 88400.60
67,17:48:50,Tactile,COMPRESSIBILITY SPIKE,ADC: 86926.40
67,17:48:51,Tactile,COMPRESSIBILITY SPIKE,ADC: 82645.50
67,17:49:10,Tactile,COMPRESSIBILITY SPIKE,ADC: 78946.00
67,17:49:10,Tactile,COMPRESSIBILITY SPIKE,ADC: 81016.60
67,17:49:11,Tactile,COMPRESSIBILITY SPIKE,ADC: 88782.20
67,17:49:11,Tactile,COMPRESSIBILITY SPIKE,ADC: 82744.00
67,17:49:12,Tactile,COMPRESSIBILITY SPIKE,ADC: 85155.90
67,17:49:12,Tactile,COMPRESSIBILITY SPIKE,ADC: 87022.40
67,17:49:13,Tactile,COMPRESSIBILITY SPIKE,ADC: 80726.60
67,17:49:13,Tactile,COMPRESSIBILITY SPIKE,ADC: 84844.60
67,17:49:14,Tactile,COMPRESSIBILITY SPIKE,ADC: 79469.50
67,17:49:27,CAMERA,VISUAL_ALERT,Bad Label
67,17:49:46,CAMERA,VISUAL_ALERT,Bad Label
67,17:49:47,CAMERA,VISUAL_ALERT,Bad Label
67,17:49:49,CAMERA,VISUAL_ALERT,Bad Label
67,17:49:50,CAMERA,VISUAL_ALERT,Bad Label
67,17:49:51,Tactile,EVENT,Run Finished
67,17:50:01,Tactile,EVENT,Run Finished
67,17:51:04,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:06,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:10,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:12,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:13,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:15,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:16,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:18,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:20,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:21,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:23,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:25,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:26,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:28,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:30,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:32,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:33,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:40,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:48,CAMERA,VISUAL_ALERT,Bad Label
67,17:51:59,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:01,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:02,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:11,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:13,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:15,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:18,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:20,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:32,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:36,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:38,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:40,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:42,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:43,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:45,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:46,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:54,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:56,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:58,CAMERA,VISUAL_ALERT,Bad Label
67,17:52:59,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:01,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:05,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:07,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:10,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:13,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:15,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:17,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:19,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:21,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:23,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:27,CAMERA,VISUAL_ALERT,Bad Label
67,17:53:29,CAMERA,VISUAL_ALERT,Bad Label
